Order Date,Order ID,Product Name,Category,City,Country,Customer Name,Discount,Postal Code,Manufacturer,Profit,Profit Ratio,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
11/8/2017,CA-2017-152156,Bush Somerset Collection Bookcase,Furniture,Henderson,United States,Claire Gute,0.00%,42420,Bush,$42.00,16.00%,2.00,South,$262.00,Consumer,11/11/2017,Second Class,Kentucky,Bookcases
11/8/2017,CA-2017-152156,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Henderson,United States,Claire Gute,0.00%,42420,Hon,$220.00,30.00%,3.00,South,$732.00,Consumer,11/11/2017,Second Class,Kentucky,Chairs
6/12/2017,CA-2017-138688,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Los Angeles,United States,Darrin Van Huff,0.00%,90036,Universal,$7.00,47.00%,2.00,West,$15.00,Corporate,6/16/2017,Second Class,California,Labels
10/11/2016,US-2016-108966,Bretford CR4500 Series Slim Rectangular Table,Furniture,Fort Lauderdale,United States,Sean O'Donnell,45.00%,33311,Bretford,-$383.00,-40.00%,5.00,South,$958.00,Consumer,10/18/2016,Standard Class,Florida,Tables
10/11/2016,US-2016-108966,Eldon Fold 'N Roll Cart System,Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,20.00%,33311,Eldon,$3.00,11.00%,2.00,South,$22.00,Consumer,10/18/2016,Standard Class,Florida,Storage
6/9/2015,CA-2015-115812,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Los Angeles,United States,Brosina Hoffman,0.00%,90032,Eldon,$14.00,29.00%,7.00,West,$49.00,Consumer,6/14/2015,Standard Class,California,Furnishings
6/9/2015,CA-2015-115812,Newell 322,Office Supplies,Los Angeles,United States,Brosina Hoffman,0.00%,90032,Newell,$2.00,27.00%,4.00,West,$7.00,Consumer,6/14/2015,Standard Class,California,Art
6/9/2015,CA-2015-115812,Mitel 5320 IP Phone VoIP phone,Technology,Los Angeles,United States,Brosina Hoffman,20.00%,90032,Mitel,$91.00,10.00%,6.00,West,$907.00,Consumer,6/14/2015,Standard Class,California,Phones
6/9/2015,CA-2015-115812,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Los Angeles,United States,Brosina Hoffman,20.00%,90032,DXL,$6.00,31.00%,3.00,West,$19.00,Consumer,6/14/2015,Standard Class,California,Binders
6/9/2015,CA-2015-115812,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Los Angeles,United States,Brosina Hoffman,0.00%,90032,Belkin,$34.00,30.00%,5.00,West,$115.00,Consumer,6/14/2015,Standard Class,California,Appliances
